Input.professor,Input.university,Answer.Bachelors,Answer.Doctorate,Answer.JoinYear,Answer.Masters,Answer.PostDoc,Answer.Rank,Answer.Subfield,Answer.URLs
thomas wies,New York University,,"University of Freiburg, Freiburg, Germany",2011,"Saarland University, Saarbrucken, Germany","Ecole Polytechnique Federale de Lausanne, Switzerland; Institute of Science and Technology, Klosterneuburg, Austria",Assistant,Software Engineering,http://cs.nyu.edu/wies/cv_wies.pdf
tom anderson,University of Washington,Harvard University,University of Washington.,2009,", University of Washington.",,Full,Operating Systems,http://homes.cs.washington.edu/~tom/cv.pdf
tom daniel,University of Washington,,Duke university,1984,,,Full,Bioinformatics & Computational Biology,http://www.cs.washington.edu/people/faculty/danielt
vijaya ramachandran,University of Texas-Austin,,Princeton University,,,,Full,Algorithms & Theory,http://www.cs.utexas.edu/faculty/ramachandran
vincent conitzer,Duke University,,Carnegie Mellon University,,Carnegie Mellon University,,Full,Artificial Intelligence,http://www.cs.duke.edu/people/faculty/?csid=1612
warren a. hunt jr.,University of Texas-Austin,,,,,,Full,Software Engineering,http://www.cs.utexas.edu/~hunt/
wayne snyder,Boston University,,"University of Pennsylvania,",2010,Dickinson College,,Associate,Computer Education,http://www.cs.bu.edu/fac/snyder/personal.html
william d. (bill) young,University of Texas-Austin,University of Texas at Austin,University of Texas at Austin,2001,University of Texas at Austin,,Lecturer,Security & Privacy,
william h. press,University of Texas-Austin,Harvard College,California Insitute of Technology,2007,California Insitute of Technology,,Full,Bioinformatics & Computational Biology,http://nr.com/whp/background.html
william r. cook,University of Texas-Austin,Tulane University,Brown University,2010,Brown University,,Associate,Computer Education,http://www.cs.utexas.edu/~wcook/Vita/WCook_Vita.pdf
xiaobai sun,Duke University,,University of Maryland at College Park,,"Academia Sinica, Beijing, China",,Full,Scientific Computing,http://www.cs.duke.edu/people/faculty/?csid=37
xiaowei yang,Duke University,"Tsinghua University, Beijing, China",Massachusetts Institute of Technology (MIT),,Massachusetts Institute of Technology (MIT),,Assistant,Networks & Communications,http://www.cs.duke.edu/people/faculty/?csid=2164
yin zhang,University of Texas-Austin,CORNELL UNIVERSITY,CORNELL UNIVERSITY,2000,CORNELL UNIVERSITY,,Associate,Computer Vision,http://www.caam.rice.edu/~yzhang/
zachary tatlock,University of Washington,Perdue,"University of California, San Diego",2013,,University of Washington,Assistant,Scientific Computing,http://www.linkedin.com/pub/zachary-tatlock/63/66/522
zoran popovic,University of Washington,Brown University,Carnegie Mellon University,1999,Carnegie Mellon University,,Full,Graphics,http://homes.cs.washington.edu/~zoran/
zvi kedem,New York University,the Technion – Israel Institute of Technology,the Technion – Israel Institute of Technology,1984,,MIT,Full,Scientific Computing,http://www.linkedin.com/in/zvikedem
